Epoch	Loss	Accuracy	Val_Accuracy
1	1.2351	0.4982	0.4763
2	0.8228	0.4982	0.5237
3	0.7489	0.4969	0.4763
4	0.7507	0.4923	0.4763
5	0.7251	0.5017	0.4763
6	0.7226	0.4890	0.5237
7	0.7113	0.5040	0.5237
8	0.7114	0.5041	0.4763
9	0.6900	0.5466	0.5538
10	0.6573	0.6158	0.6915
11	0.5824	0.6950	0.7437
12	0.3731	0.8420	0.7737
13	0.2389	0.9067	0.7769
14	0.1503	0.9452	0.7975
15	0.0928	0.9643	0.7832
16	0.0764	0.9720	0.7911
17	0.0727	0.9753	0.7927
18	0.0559	0.9812	0.7975
19	0.0604	0.9792	0.8133
20	0.0490	0.9829	0.7801
21	0.0400	0.9871	0.7706
22	0.0357	0.9873	0.8117
23	0.0284	0.9901	0.8228
