chr21:11099662-11099866	chr21:11109153-11109188
chr21:30374865-30375265	chr21:30390843-30391016
chr21:30669074-30669451	chr21:30684361-30684712
chr21:30675702-30676052	chr21:30684361-30684712
chr21:31012223-31012655	chr21:31029045-31029571
chr21:31019760-31020010	chr21:31029045-31029571
chr21:36254204-36254725	chr21:36254204-36254725
chr21:36254204-36254725	chr21:36257911-36258724
chr21:36254204-36254725	chr21:36263020-36263336
chr21:36257911-36258724	chr21:36392735-36393025
chr21:36263020-36263336	chr21:36392735-36393025
chr21:36257911-36258724	chr21:36419290-36419780
chr21:36257911-36258724	chr21:36423642-36423856
chr21:36263020-36263336	chr21:36419290-36419780
chr21:36263020-36263336	chr21:36423642-36423856
chr21:36263020-36263336	chr21:36281882-36282257
chr21:36263020-36263336	chr21:36577614-36577815
chr21:36263020-36263336	chr21:36336896-36337096
chr21:36263020-36263336	chr21:36339843-36340239
chr21:36263020-36263336	chr21:36341048-36341379
chr21:36263020-36263336	chr21:36342558-36342757
chr21:36263020-36263336	chr21:36367475-36367815
chr21:40159439-40159794	chr21:40175166-40175325
chr21:40159439-40159794	chr21:40176258-40176616
chr21:40182920-40183779	chr21:40197927-40198146
chr21:40689481-40689668	chr21:40716228-40716377
chr21:40690087-40690386	chr21:40716228-40716377
chr21:40691878-40692008	chr21:40716228-40716377
chr21:44395482-44395891	chr21:44529146-44529448
chr21:44395922-44396228	chr21:44529146-44529448
chr21:44465598-44466060	chr21:44499901-44500036
chr21:44465598-44466060	chr21:44529146-44529448
chr21:44469974-44470172	chr21:44499901-44500036
chr21:44469974-44470172	chr21:44529146-44529448
chr21:44499901-44500036	chr21:44499901-44500036
chr21:44499901-44500036	chr21:44529146-44529448
chr21:45341940-45342414	chr21:45358133-45358224
chr21:45341940-45342414	chr21:45359018-45359208
chr21:45528208-45528453	chr21:45720945-45721140
chr21:45557942-45558217	chr21:45720945-45721140
chr21:45558236-45558599	chr21:45720945-45721140
chr21:45563949-45564214	chr21:45720945-45721140
chr21:45566076-45566451	chr21:45720945-45721140
chr21:45573018-45573302	chr21:45720945-45721140
chr21:45573584-45574271	chr21:45720945-45721140
chr21:45557942-45558217	chr21:45563949-45564214
chr21:45557942-45558217	chr21:45566076-45566451
chr21:45557942-45558217	chr21:45573018-45573302
chr21:45557942-45558217	chr21:45573584-45574271
chr21:45557942-45558217	chr21:45574660-45575436
chr21:45558236-45558599	chr21:45563949-45564214
chr21:45558236-45558599	chr21:45566076-45566451
chr21:45558236-45558599	chr21:45573018-45573302
