chr6:41286601-41286824	chr6:41301419-41301724
chr1:247553531-247554143	chr1:247570274-247570994
chr1:247553531-247554143	chr1:247573090-247573644
chr2:97151625-97152085	chr2:97175211-97175545
chrX:64815346-64815780	chrX:65207808-65208088
chrX:64816232-64816499	chrX:65207808-65208088
chr17:21360373-21360746	chr17:21416302-21416539
chr6:138029722-138029945	chr6:138057580-138057838
chr11:118562658-118562793	chr11:118800879-118801266
chr15:85874454-85874742	chr15:85956762-85957097
chr5:153900553-153900872	chr5:153955712-153955778
chr15:63779413-63779517	chr15:63789918-63790251
chr10:64397818-64398131	chr10:64441011-64441399
chr5:373695-374160	chr5:402925-403258
chr10:74080430-74080993	chr10:74091361-74091474
chrX:56791132-56791384	chrX:56830107-56830267
chr1:144533627-144534178	chr1:145058996-145059322
chr15:31733081-31733438	chr15:31780397-31780546
chr15:31735072-31735294	chr15:31780397-31780546
chr2:238581844-238582251	chr2:238595538-238595801
chr2:238581844-238582251	chr2:238596328-238596696
chr5:133435759-133436442	chr5:133468017-133468495
chr10:43248764-43248842	chr10:43600895-43601120
chr10:43249248-43249682	chr10:43600895-43601120
chr10:43249715-43249807	chr10:43600895-43601120
chr1:192549613-192549895	chr1:192578246-192578789
chr14:23293879-23294567	chr14:23322319-23322495
chr2:85956315-85956539	chr2:86307060-86307219
chr21:46859041-46859207	chr21:47240506-47240853
chr15:37175924-37176266	chr15:37398990-37399302
chr9:114790932-114791388	chr9:114836654-114837091
chr9:114792518-114792641	chr9:114836654-114837091
chr17:6814987-6815378	chr17:6924662-6924902
chr17:6814987-6815378	chr17:6925152-6925653
chr17:6818045-6818590	chr17:6924662-6924902
chr17:6818045-6818590	chr17:6925152-6925653
chr16:55745577-55745962	chr16:55875436-55875496
chr1:25348659-25349200	chr1:25357926-25358422
chr11:19973702-19973983	chr11:20134058-20134420
chr19:3344211-3344472	chr19:3484915-3485311
chr16:80614104-80614217	chr16:80710391-80710578
chr12:125052829-125053041	chr12:125256511-125256612
chr14:94121988-94122062	chr14:94360342-94360641
chr16:85855311-85855450	chr16:85981502-85981519
chr12:108965662-108965849	chr12:109010746-109010939
chr12:108965662-108965849	chr12:109011185-109011417
chr12:108966174-108966560	chr12:109010746-109010939
chr12:108966174-108966560	chr12:109011185-109011417
chr10:90030953-90031359	chr10:90145688-90145942
chr16:53089565-53089820	chr16:53165497-53165808
chr17:25659975-25660361	chr17:25676124-25676302
chr6:27720726-27720895	chr6:27759985-27760333
chr12:13431254-13431391	chr12:13814153-13814481
chrX:12965371-12965491	chrX:13110635-13111008
chr1:192446152-192446393	chr1:192549613-192549895
chr10:98032542-98032692	chr10:98048117-98048308
chr20:43214306-43214431	chr20:43238683-43239068
chr11:1285805-1285940	chr11:1595832-1596187
chr8:142096370-142097040	chr8:142182442-142182863
chr17:38514847-38514935	chr17:38689625-38689996
chr1:160072097-160072234	chr1:160345693-160345986
chr8:96903752-96903767	chr8:97173806-97174188
chr8:96903752-96903767	chr8:97174234-97174570
