chr19:782330-783005	chr19:800594-800755
chr19:1169743-1170349	chr19:1183874-1184237
chr19:1171027-1171165	chr19:1183874-1184237
chr19:1171933-1172315	chr19:1183874-1184237
chr19:1172839-1173266	chr19:1183874-1184237
chr19:1175432-1175562	chr19:1183874-1184237
chr19:1169743-1170349	chr19:1189532-1189666
chr19:1171027-1171165	chr19:1189532-1189666
chr19:1171933-1172315	chr19:1189532-1189666
chr19:1172839-1173266	chr19:1189532-1189666
chr19:1183874-1184237	chr19:1252961-1253429
chr19:1240232-1240534	chr19:1252961-1253429
chr19:1240232-1240534	chr19:1260732-1261171
chr19:1240232-1240534	chr19:1262305-1262850
chr19:1240232-1240534	chr19:1265810-1266064
chr19:1240232-1240534	chr19:1266359-1266798
chr19:1240232-1240534	chr19:1280981-1281104
chr19:1252961-1253429	chr19:1252961-1253429
chr19:1252961-1253429	chr19:1260732-1261171
chr19:1252961-1253429	chr19:1262305-1262850
chr19:1252961-1253429	chr19:1265810-1266064
chr19:1252961-1253429	chr19:1266359-1266798
chr19:1252961-1253429	chr19:1280981-1281104
chr19:1260732-1261171	chr19:1260732-1261171
chr19:1260732-1261171	chr19:1262305-1262850
chr19:1260732-1261171	chr19:1265810-1266064
chr19:1260732-1261171	chr19:1266359-1266798
chr19:1260732-1261171	chr19:1280981-1281104
chr19:2032329-2032652	chr19:2049976-2050209
chr19:2032329-2032652	chr19:2051815-2052053
chr19:2049976-2050209	chr19:2061356-2061737
chr19:2051815-2052053	chr19:2061356-2061737
chr19:2049976-2050209	chr19:2064980-2065181
chr19:2051815-2052053	chr19:2064980-2065181
chr19:2478921-2479315	chr19:2495780-2495940
chr19:2478921-2479315	chr19:2524971-2525260
chr19:2494705-2495117	chr19:2578988-2579272
chr19:11449020-11449400	chr19:11484314-11484469
chr19:12888910-12889352	chr19:12894545-12895330
chr19:12888910-12889352	chr19:12895349-12896178
chr19:12888910-12889352	chr19:12896372-12896781
chr19:12888910-12889352	chr19:12896870-12897372
chr19:12888910-12889352	chr19:12899457-12901460
chr19:12888910-12889352	chr19:12901644-12901726
chr19:12889371-12889726	chr19:12894545-12895330
chr19:12889371-12889726	chr19:12895349-12896178
chr19:12889371-12889726	chr19:12896372-12896781
chr19:12889371-12889726	chr19:12896870-12897372
chr19:12889371-12889726	chr19:12899457-12901460
chr19:12889371-12889726	chr19:12901644-12901726
chr19:12890492-12890682	chr19:12894545-12895330
chr19:12890492-12890682	chr19:12895349-12896178
chr19:12890492-12890682	chr19:12896372-12896781
chr19:12890492-12890682	chr19:12896870-12897372
chr19:12890492-12890682	chr19:12899457-12901460
chr19:12890492-12890682	chr19:12901644-12901726
chr19:12892597-12892707	chr19:12894545-12895330
chr19:12892597-12892707	chr19:12895349-12896178
chr19:12892597-12892707	chr19:12896372-12896781
chr19:12892597-12892707	chr19:12896870-12897372
chr19:12892597-12892707	chr19:12899457-12901460
chr19:12892597-12892707	chr19:12901644-12901726
chr19:12892961-12894040	chr19:12894545-12895330
chr19:12892961-12894040	chr19:12895349-12896178
chr19:12892961-12894040	chr19:12896372-12896781
chr19:12892961-12894040	chr19:12896870-12897372
chr19:12892961-12894040	chr19:12899457-12901460
chr19:12892961-12894040	chr19:12901644-12901726
chr19:12894545-12895330	chr19:12894545-12895330
chr19:12894545-12895330	chr19:12895349-12896178
chr19:12894545-12895330	chr19:12896372-12896781
chr19:12894545-12895330	chr19:12896870-12897372
chr19:12894545-12895330	chr19:12899457-12901460
chr19:12894545-12895330	chr19:12901644-12901726
chr19:12895349-12896178	chr19:12895349-12896178
chr19:12895349-12896178	chr19:12896372-12896781
chr19:12895349-12896178	chr19:12896870-12897372
chr19:12895349-12896178	chr19:12899457-12901460
chr19:12895349-12896178	chr19:12901644-12901726
chr19:12896372-12896781	chr19:12896372-12896781
chr19:12896372-12896781	chr19:12896870-12897372
chr19:12896372-12896781	chr19:12899457-12901460
chr19:12896372-12896781	chr19:12901644-12901726
chr19:12896870-12897372	chr19:12896870-12897372
chr19:12896870-12897372	chr19:12899457-12901460
chr19:12896870-12897372	chr19:12901644-12901726
chr19:12888910-12889352	chr19:12947043-12947383
chr19:12889371-12889726	chr19:12947043-12947383
chr19:13231642-13232105	chr19:13262107-13262928
chr19:13231642-13232105	chr19:13266326-13267156
chr19:13232387-13232613	chr19:13262107-13262928
chr19:13232387-13232613	chr19:13266326-13267156
chr19:13232805-13233031	chr19:13262107-13262928
chr19:13232805-13233031	chr19:13266326-13267156
chr19:13233224-13233603	chr19:13262107-13262928
chr19:13233224-13233603	chr19:13266326-13267156
chr19:13262107-13262928	chr19:13273540-13274187
chr19:13262107-13262928	chr19:13274586-13275096
chr19:13262107-13262928	chr19:13275397-13275802
chr19:13262107-13262928	chr19:13278382-13278991
chr19:13266326-13267156	chr19:13273540-13274187
chr19:13266326-13267156	chr19:13274586-13275096
chr19:13266326-13267156	chr19:13275397-13275802
chr19:13266326-13267156	chr19:13278382-13278991
chr19:13944151-13944331	chr19:13954357-13954714
chr19:13944151-13944331	chr19:13955108-13955589
chr19:13944359-13944683	chr19:13954357-13954714
chr19:13944359-13944683	chr19:13955108-13955589
chr19:13944359-13944683	chr19:13972364-13973309
chr19:13944359-13944683	chr19:13975574-13976059
chr19:13944359-13944683	chr19:13976745-13977653
chr19:13954357-13954714	chr19:13972364-13973309
chr19:13954357-13954714	chr19:13975574-13976059
chr19:13954357-13954714	chr19:13976745-13977653
chr19:13954357-13954714	chr19:13959901-13960035
chr19:16181046-16181841	chr19:16188924-16190024
chr19:18393747-18393881	chr19:18429185-18429358
chr19:18393747-18393881	chr19:18430446-18430898
chr19:18393747-18393881	chr19:18439179-18439536
chr19:18395702-18395850	chr19:18429185-18429358
chr19:18395702-18395850	chr19:18430446-18430898
chr19:18395702-18395850	chr19:18439179-18439536
chr19:18402387-18403564	chr19:18429185-18429358
chr19:18414244-18414595	chr19:18429185-18429358
chr19:18414244-18414595	chr19:18430446-18430898
chr19:35464346-35464465	chr19:35491833-35492367
